avaliacoes,iteracao,temperatura
238601,238500,443.65
239101,239000,443.65
239601,239500,443.65
240101,240000,421.467
240601,240500,421.467
241101,241000,421.467
241601,241500,421.467
242101,242000,421.467
242601,242500,421.467
243101,243000,421.467
243601,243500,421.467
244101,244000,421.467
244601,244500,421.467
245101,245000,421.467
245601,245500,421.467
246101,246000,421.467
246601,246500,421.467
247101,247000,421.467
247601,247500,421.467
248101,248000,421.467
248601,248500,421.467
249101,249000,421.467
249601,249500,421.467
250101,250000,400.394
250601,250500,400.394
251101,251000,400.394
251601,251500,400.394
252101,252000,400.394
252601,252500,400.394
253101,253000,400.394
253601,253500,400.394
254101,254000,400.394
254601,254500,400.394
255101,255000,400.394
255601,255500,400.394
256101,256000,400.394
256601,256500,400.394
257101,257000,400.394
257601,257500,400.394
258101,258000,400.394
258601,258500,400.394
259101,259000,400.394
259601,259500,400.394
260101,260000,380.374
260601,260500,380.374
261101,261000,380.374
261601,261500,380.374
262101,262000,380.374
262601,262500,380.374
263101,263000,380.374
263601,263500,380.374
264101,264000,380.374
264601,264500,380.374
265101,265000,380.374
265601,265500,380.374
266101,266000,380.374
266601,266500,380.374
267101,267000,380.374
267601,267500,380.374
268101,268000,380.374
268601,268500,380.374
269101,269000,380.374
269601,269500,380.374
270101,270000,361.355
270601,270500,361.355
271101,271000,361.355
271601,271500,361.355
272101,272000,361.355
272601,272500,361.355
273101,273000,361.355
273601,273500,361.355
274101,274000,361.355
274601,274500,361.355
275101,275000,361.355
275601,275500,361.355
276101,276000,361.355
276601,276500,361.355
277101,277000,361.355
277601,277500,361.355
278101,278000,361.355
278601,278500,361.355
279101,279000,361.355
279601,279500,361.355
280101,280000,343.288
280601,280500,343.288
281101,281000,343.288
281601,281500,343.288
282101,282000,343.288
282601,282500,343.288
283101,283000,343.288
283601,283500,343.288
284101,284000,343.288
284601,284500,343.288
285101,285000,343.288
285601,285500,343.288
286101,286000,343.288
286601,286500,343.288
287101,287000,343.288
287601,287500,343.288
288101,288000,343.288
288601,288500,343.288
289101,289000,343.288
289601,289500,343.288
290101,290000,326.123
290601,290500,326.123
291101,291000,326.123
291601,291500,326.123
292101,292000,326.123
292601,292500,326.123
293101,293000,326.123
293601,293500,326.123
294101,294000,326.123
294601,294500,326.123
295101,295000,326.123
295601,295500,326.123
296101,296000,326.123
296601,296500,326.123
297101,297000,326.123
297601,297500,326.123
298101,298000,326.123
298601,298500,326.123
299101,299000,326.123
299601,299500,326.123
300101,300000,309.817
300601,300500,309.817
301101,301000,309.817
301601,301500,309.817
302101,302000,309.817
302601,302500,309.817
303101,303000,309.817
303601,303500,309.817
304101,304000,309.817
304601,304500,309.817
305101,305000,309.817
305601,305500,309.817
306101,306000,309.817
306601,306500,309.817
307101,307000,309.817
307601,307500,309.817
308101,308000,309.817
308601,308500,309.817
309101,309000,309.817
309601,309500,309.817
310101,310000,294.326
310601,310500,294.326
311101,311000,294.326
311601,311500,294.326
312101,312000,294.326
312601,312500,294.326
313101,313000,294.326
313601,313500,294.326
314101,314000,294.326
314601,314500,294.326
315101,315000,294.326
315601,315500,294.326
316101,316000,294.326
316601,316500,294.326
317101,317000,294.326
317601,317500,294.326
318101,318000,294.326
318601,318500,294.326
319101,319000,294.326
319601,319500,294.326
320101,320000,279.61
320601,320500,279.61
321101,321000,279.61
321601,321500,279.61
322101,322000,279.61
322601,322500,279.61
323101,323000,279.61
323601,323500,279.61
324101,324000,279.61
324601,324500,279.61
325101,325000,279.61
325601,325500,279.61
326101,326000,279.61
326601,326500,279.61
327101,327000,279.61
327601,327500,279.61
328101,328000,279.61
328601,328500,279.61
329101,329000,279.61
329601,329500,279.61
330101,330000,265.629
330601,330500,265.629
331101,331000,265.629
331601,331500,265.629
332101,332000,265.629
332601,332500,265.629
333101,333000,265.629
333601,333500,265.629
334101,334000,265.629
334601,334500,265.629
335101,335000,265.629
335601,335500,265.629
336101,336000,265.629
336601,336500,265.629
337101,337000,265.629
337601,337500,265.629
338101,338000,265.629
338601,338500,265.629
339101,339000,265.629
339601,339500,265.629
340101,340000,252.348
340601,340500,252.348
341101,341000,252.348
341601,341500,252.348
342101,342000,252.348
342601,342500,252.348
343101,343000,252.348
343601,343500,252.348
